Author,Title,Type_of_Ban,Secondary Author(s),State,District,Date of Challenge/Removal,Origin of Challenge,Latitude,Longitude
"Dumas, Marti","Muffin Wars (Jaden Toussaint, the Greatest Series)",Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Dumas, Marti","The Ladek Invasion (Jaden Toussaint, the Greatest Series)",Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Dumas, Marti","The Quest for Screen Time (Jaden Toussaint, the Greatest Series)",Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Dunbar-Ortiz, Roxanne",An Indigenous Peoples' History of the United States,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Dunbar, Helene",We Are Lost and Found,Banned in Libraries,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Duncan-Andrade, Jeffrey M. R.",The Art of Critical Pedagogy: Possibilities for Moving from Theory to Practice in Urban Schools,Banned in Classrooms,"Morrell, Ernest",Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Duncan, Alice Faye","Memphis, Martin, and the Mountaintop: The Sanitation Strike of 1968",Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Duncan, Lois",Killing Mr. Griffin,Banned Pending Investigation,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Duncan, Lois",Killing Mr. Griffin,Banned in Libraries and Classrooms,,Florida,Jackson County School District,2022-04-01,Administrator,27.994402,-81.760254
"Duncan, Lois",Killing Mr. Griffin,Banned Pending Investigation,,Florida,Lee County Schools,2022-03-01,Administrator,27.994402,-81.760254
"Duncan, Lois",Killing Mr. Griffin,Banned in Libraries,,Florida,St. Lucie Public Schools,2021-12-01,Formal Challenge,27.994402,-81.760254
"Duncan, Lois",Killing Mr. Griffin,Banned Pending Investigation,,Florida,Walton County School District,2022-04-01,Administrator,27.994402,-81.760254
"Duran, Rye",A Perfect Blank,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Durrow, Heidi W.",The Girl Who Fell from the Sky,Banned Pending Investigation,,Kansas,Goddard Public Schools,2021-11-01,Administrator,38.5,-98.0
"Duyvis, Corinne",The Art of Saving the World,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Easton, Emily",Enough! 20 Protesters Who Changed America,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Edgmon, H. E.",The Witch King (The Witch King Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Edwards, Roberta",Who Is Barack Obama? (Who was...? Series),Banned in Classrooms,"Harrison, Nancy",Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
